country_code,reporting_level,year,gdp
ABW,national,1986,17354.4211506779
ABW,national,1987,20407.620205072
ABW,national,1988,24143.1712840053
ABW,national,1989,26573.6479138613
ABW,national,1990,26609.3840748633
ABW,national,1991,27358.0217070709
ABW,national,1992,27662.2034052006
ABW,national,1993,27798.3553265013
ABW,national,1994,28563.2336087935
ABW,national,1995,28479.6452657341
ABW,national,1996,27701.0504117279
ABW,national,1997,28526.0975674511
ABW,national,1998,28387.1299566371
ABW,national,1999,28351.3719022982
ABW,national,2000,30199.6612772816
ABW,national,2001,31169.7969138989
ABW,national,2002,30662.3217145204
ABW,national,2003,30651.9457560917
ABW,national,2004,32192.7919471291
ABW,national,2005,31249.2780373413
ABW,national,2006,31038.8898666583
ABW,national,2007,31759.8232024833
ABW,national,2008,32097.0402243555
ABW,national,2009,28157.1489891095
ABW,national,2010,27324.5554259804
ABW,national,2011,28037.8697927378
ABW,national,2012,27341.2274279996
ABW,national,2013,28668.7204196265
ABW,national,2014,27914.8433440348
ABW,national,2015,27458.2253310273
ABW,national,2016,27719.5007310796
ABW,national,2017,29671.13582858
ABW,national,2018,30334.1162224308
ABW,national,2019,29576.8097145074
ABW,national,2020,21947.9953301189
ABW,national,2021,27469.0056215511
ABW,national,2022,29917.1280287045
ABW,national,2023,31178.473678762
ABW,national,2024,33213.879388934096
ABW,national,2025,33967.41319638295
ABW,national,2026,34860.79539581006
ABW,national,2027,35739.041915202506
ABW,national,2028,36331.41246069621
ABW,national,2029,36841.79294577977
ABW,national,2030,37345.91633009059
AFG,national,1960,769.0257360188128
AFG,national,1961,759.1664317108795
AFG,national,1962,755.1067181723187
AFG,national,1963,752.7868818645695
AFG,national,1964,748.7271683260087
AFG,national,1965,748.1472092490714
AFG,national,1966,737.7079458642006
AFG,national,1967,740.607741248887
AFG,national,1968,748.1472092490715
AFG,national,1969,741.1877003258244
AFG,national,1970,737.7079458642007
AFG,national,1971,717.4093781713965
AFG,national,1972,584.0187904758257
AFG,national,1973,586.3386267835747
AFG,national,1974,602.5774809378181
AFG,national,1975,622.8760486306223
AFG,national,1976,640.8547800156775
AFG,national,1977,592.7181766298846
AFG,national,1978,620.5562123228733
AFG,national,1979,593.2981357068219
AFG,national,1980,590.9782993990729
AFG,national,1981,663.4731840162309
AFG,national,1982,736.5480277103262
AFG,national,1983,781.2048766344956
AFG,national,1984,775.4052858651229
AFG,national,1985,756.2666363261932
AFG,national,1986,779.4649994036838
AFG,national,1987,702.3304421710277
AFG,national,1988,638.5349437079286
AFG,national,1989,579.3791178603276
AFG,national,1990,558.5005910905861
AFG,national,1991,511.04279418832743
AFG,national,1992,489.4131683980886
AFG,national,1993,335.4499215262278
AFG,national,1994,248.46871136285858
AFG,national,1995,367.0795279724072
AFG,national,1996,348.0770923782706
AFG,national,1997,330.9235583717925
AFG,national,1998,316.10017189278256
AFG,national,1999,300.80033763665114
AFG,national,2000,291.35563381582284
AFG,national,2001,283.9955189192667
AFG,national,2002,324.6889047714661
AFG,national,2003,344.3232518727484
AFG,national,2004,340.27602916523495
AFG,national,2005,358.12875665456
AFG,national,2006,366.8505429810581
